ID;Min_EKG;Max_EKG;Mean_EKG;STDEV_EKG;Min_GSR;Max_GSR;Mean_GSR;STDEV_GSR;Min_Tep;Max_Tep;Mean_Tep;STDEV_Tep;Label
3_h;10;617;333.516507907149;48.1630027492794;317;337;330.21230486685;4.0777386990203;37.15;38.61;37.8948301886792;0.297241212618859;Neutral
5_h;10;655;333.662258392675;74.6717880538239;273;315;302.143985307622;9.8442230801972;35.68;36.66;36.1700000000001;0.0426490257091458;Negative
6_h;172;653;326.923148062517;33.3562413921491;366;388;381.556473829201;4.60045608977321;36.17;36.66;36.6304150943395;0.116931317894869;Negative
7_h;204;519;332.974105243688;28.8627307791679;273;322;305.297337006428;10.7510197334861;37.15;37.63;37.2568679245282;0.200067227123242;Neutral
8_h;225;562;356.487283825025;25.0608351594809;376;418;397.679889807163;10.6846027633796;37.63;38.12;37.7224528301886;0.192077021131845;Negative
9_h;10;652;327.214741514843;57.4052802576695;261;330;297.486868686869;19.9267777512747;37.15;38.61;37.8948301886793;0.29724121261886;Neutral
13_h;271;466;333.542957551096;22.795815701278;393;408;401.925987144169;2.87516324869879;35.68;36.17;36.1607547169812;0.0667948310637322;Negative
17_h;0;653;334.209119496855;69.0148646186002;168;340;257.831588613407;45.3219614787077;35.19;35.68;35.6744528301888;0.0519376688042827;Negative
18_h;0;654;331.467862757792;71.3424689812925;147;198;183.575757575758;9.49403308491637;37.15;37.63;37.2568679245281;0.200067227123242;Negative
19_h;269;510;333.304448349209;23.1192275515013;229;278;264.466483011938;9.20942890013981;35.19;36.66;36.0387169811322;0.233554255048925;Neutral
20_h;268;481;331.311846851013;19.2766251490818;462;475;470.59595959596;3.56634173501195;35.19;36.17;35.4414716981131;0.249056751152132;Neutral
3_n;189;631;334.475870578558;41.5012852581443;314;343;332.754606141522;5.71663216340555;35.19;36.17;35.9125000000001;0.26462431037421;Positive
5_n;0;651;334.022621332602;68.3393297334033;295;307;303.17917222964;2.38567525660927;35.68;36.66;36.1750000000001;0.164508592246961;Negative
6_n;222;533;332.862352618591;28.4261410669653;380;391;386.485447263017;1.95635175767089;36.17;36.66;36.4275;0.245307499336584;Positive
7_n;176;654;331.756238003839;32.3693432924932;303;346;335.492122830441;7.30249228661148;35.19;36.66;35.8275;0.528957731819171;Positive
8_n;74;640;333.360433232794;34.3360391483969;375;412;396.510280373832;10.452526151105;37.15;38.12;37.6577040816327;0.149746226984439;Positive
9_n;0;651;333.047162051001;76.3797836658297;277;415;351.437650200267;43.2373063585562;37.63;38.61;38.3174999999999;0.260605557136177;Neutral
13_n;254;492;333.587469152728;23.093499241339;325;385;364.177570093458;12.2109192138417;35.19;36.17;35.6349999999999;0.337201910144544;Neutral
17_n;234;497;333.602961338086;34.5929616861909;220;306;271.161281708945;19.0584219460776;37.63;38.61;38.2424999999999;0.249975126967793;Neutral
18_n;0;654;332.008363038114;80.7836909850773;124;194;173.624566088117;14.528212127725;36.66;37.63;37.0073979591835;0.233600282744645;Neutral
19_n;269;539;333.102412942144;25.525134604473;197;264;239.847263017356;13.186254441988;36.17;37.15;36.905;0.345592764644109;Positive
20_n;269;510;331.66122840691;20.2425437632086;476;479;477.527636849132;0.506736032415051;33.24;33.72;33.4408163265305;0.237386079428504;Positive
3_neu;210;639;334.166152659985;37.5531986104877;318;332;326.312067640277;3.83157936285842;37.15;38.61;37.7132786885246;0.47972812200063;Neutral
5_neu;7;650;333.857748650732;61.6423711128181;296;307;304.224442736357;1.94431374505723;36.66;36.66;36.66;1.4328789141638E-14;Neutral
6_neu;224;513;332.6599845798;29.585203528076;367;385;378.036894696387;3.94756293412819;35.68;36.17;35.9129508196722;0.246734298806734;Neutral
7_neu;250;497;331.129144178874;26.8431600181671;333;339;336.295926210607;1.28034502829277;36.17;36.66;36.3306557377049;0.23193295620688;Neutral
8_neu;279;514;334.291441788743;23.3668547248665;406;416;411.013066871637;3.06603952295042;37.63;37.63;37.6300000000001;5.73151565665519E-14;Negative
9_neu;194;548;334.377023901311;40.9112707582845;243;289;269.232897770945;11.6968908418304;37.63;38.61;38.2645901639344;0.242442940163192;Neutral
13_neu;280;471;333.75867386276;22.6500986465757;345;367;356.488854727133;5.81398105323193;35.68;36.17;35.8968852459017;0.245401310670276;Neutral
17_neu;247;491;333.445643793369;32.2602392632414;175;268;237.870868562644;20.1246558674547;34.7;35.68;35.2703278688525;0.299131895173989;Neutral
